id,lat,lng,tipo,comuna,fecha,descripcion
70,-33.533279,-70.450368,Corte de tránsito,Santiago,2024-02-23,Incidente #70 en zona urbana
71,-33.649016,-70.733305,Tránsito detenido,Maipú,2024-04-04,Incidente #71 en zona urbana
72,-33.613845,-70.444593,Accidente,Estación Central,2024-06-05,Incidente #72 en zona urbana
73,-33.361628,-70.78975,Congestión,La Florida,2024-04-21,Incidente #73 en zona urbana
74,-33.597031,-70.7988,Accidente,Maipú,2024-06-03,Incidente #74 en zona urbana
75,-33.374574,-70.783152,Volcamiento,La Cisterna,2024-06-20,Incidente #75 en zona urbana
76,-33.377767,-70.811947,Congestión,Providencia,2024-08-31,Incidente #76 en zona urbana
77,-33.467159,-70.403961,Accidente,Puente Alto,2024-07-12,Incidente #77 en zona urbana
78,-33.382336,-70.589903,Lluvia intensa,Huechuraba,2024-07-07,Incidente #78 en zona urbana
79,-33.495905,-70.857155,Accidente,Las Condes,2024-08-06,Incidente #79 en zona urbana
80,-33.520888,-70.747151,Vehículo detenido,Renca,2024-10-09,Incidente #80 en zona urbana
81,-33.725991,-70.556918,Vehículo detenido,La Florida,2024-11-18,Incidente #81 en zona urbana
82,-33.668544,-70.597336,Semáforo apagado,Providencia,2024-08-01,Incidente #82 en zona urbana
83,-33.57587,-70.732783,Obras viales,Pedro Aguirre Cerda,2024-07-09,Incidente #83 en zona urbana
84,-33.520841,-70.700761,Vehículo detenido,Maipú,2024-10-05,Incidente #84 en zona urbana
85,-33.517264,-70.599514,Manifestación,La Cisterna,2024-09-19,Incidente #85 en zona urbana
86,-33.303818,-70.443431,Aluvión,San Ramón,2024-07-14,Incidente #86 en zona urbana
87,-33.502027,-70.881134,Accidente,Santiago,2024-05-24,Incidente #87 en zona urbana
88,-33.423898,-70.857017,Obras viales,San Joaquín,2024-10-20,Incidente #88 en zona urbana
89,-33.340888,-70.634875,Manifestación,Macul,2024-07-20,Incidente #89 en zona urbana
90,-33.671609,-70.732495,Congestión,Renca,2024-08-31,Incidente #90 en zona urbana
91,-33.388853,-70.534534,Choque múltiple,Pudahuel,2024-01-11,Incidente #91 en zona urbana
92,-33.538781,-70.702048,Tránsito detenido,Peñalolén,2024-10-17,Incidente #92 en zona urbana
93,-33.411408,-70.642476,Policía,La Florida,2024-05-09,Incidente #93 en zona urbana
94,-33.392697,-70.407729,Accidente,Puente Alto,2024-04-21,Incidente #94 en zona urbana
95,-33.710644,-70.500996,Corte de tránsito,La Florida,2024-09-23,Incidente #95 en zona urbana
96,-33.729262,-70.520054,Congestión,San Joaquín,2024-10-02,Incidente #96 en zona urbana
97,-33.435315,-70.699227,Tránsito detenido,La Reina,2024-08-24,Incidente #97 en zona urbana
98,-33.507309,-70.527128,Manifestación,Santiago,2024-04-29,Incidente #98 en zona urbana
99,-33.422792,-70.449012,Desvío,Conchalí,2024-02-13,Incidente #99 en zona urbana
100,-33.644204,-70.47356,Policía,La Florida,2024-05-18,Incidente #100 en zona urbana
101,-33.434145,-70.83108,Tránsito detenido,Maipú,2024-09-05,Incidente #101 en zona urbana
102,-33.328217,-70.522446,Congestión,Quilicura,2024-04-29,Incidente #102 en zona urbana
103,-33.485792,-70.825001,Vehículo detenido,Pudahuel,2024-10-18,Incidente #103 en zona urbana
104,-33.622568,-70.433448,Choque múltiple,Las Condes,2024-12-20,Incidente #104 en zona urbana
105,-33.588183,-70.750688,Accidente,Puente Alto,2024-08-10,Incidente #105 en zona urbana
106,-33.722124,-70.771474,Obras viales,Quinta Normal,2024-01-03,Incidente #106 en zona urbana
107,-33.471458,-70.820669,Peligro,Huechuraba,2024-10-28,Incidente #107 en zona urbana
108,-33.74601,-70.779499,Vehículo detenido,Puente Alto,2024-05-11,Incidente #108 en zona urbana
109,-33.582642,-70.770311,Tránsito detenido,Pedro Aguirre Cerda,2024-10-27,Incidente #109 en zona urbana
110,-33.667399,-70.613109,Congestión,Macul,2024-03-09,Incidente #110 en zona urbana
111,-33.732299,-70.759799,Moto accidentada,San Miguel,2024-06-13,Incidente #111 en zona urbana
112,-33.540552,-70.851383,Accidente,Macul,2024-12-07,Incidente #112 en zona urbana
113,-33.734264,-70.548724,Tránsito detenido,La Florida,2024-01-26,Incidente #113 en zona urbana
114,-33.522634,-70.551161,Tránsito detenido,San Joaquín,2024-10-17,Incidente #114 en zona urbana
115,-33.622324,-70.786275,Congestión,Estación Central,2024-04-13,Incidente #115 en zona urbana
116,-33.727964,-70.780327,Obras viales,Recoleta,2024-08-10,Incidente #116 en zona urbana
117,-33.650325,-70.866481,Vehículo detenido,Recoleta,2024-10-10,Incidente #117 en zona urbana
118,-33.706152,-70.423789,Accidente,Puente Alto,2024-05-09,Incidente #118 en zona urbana
119,-33.395763,-70.702044,Obras viales,Santiago,2024-05-05,Incidente #119 en zona urbana
120,-33.675411,-70.718562,Accidente,Estación Central,2024-05-31,Incidente #120 en zona urbana
121,-33.666175,-70.782005,Congestión,La Florida,2024-04-11,Incidente #121 en zona urbana
122,-33.565335,-70.517779,Peligro,Santiago,2024-06-27,Incidente #122 en zona urbana
123,-33.525665,-70.437232,Peligro,Huechuraba,2024-10-08,Incidente #123 en zona urbana
124,-33.389861,-70.873909,Congestión,Las Condes,2024-11-09,Incidente #124 en zona urbana
125,-33.441808,-70.696153,Aluvión,Las Condes,2024-04-09,Incidente #125 en zona urbana
126,-33.324795,-70.724317,Accidente,Ñuñoa,2024-03-26,Incidente #126 en zona urbana
127,-33.437216,-70.847611,Choque múltiple,Ñuñoa,2024-05-16,Incidente #127 en zona urbana
128,-33.421854,-70.595729,Congestión,San Ramón,2024-08-03,Incidente #128 en zona urbana
129,-33.744492,-70.420073,Tránsito detenido,Santiago,2024-02-18,Incidente #129 en zona urbana
130,-33.643489,-70.448344,Corte de tránsito,La Florida,2024-08-09,Incidente #130 en zona urbana
131,-33.437293,-70.542863,Tránsito detenido,San Miguel,2024-02-15,Incidente #131 en zona urbana
132,-33.505928,-70.460165,Congestión,Ñuñoa,2024-02-11,Incidente #132 en zona urbana
133,-33.306151,-70.612499,Volcamiento,La Pintana,2024-11-05,Incidente #133 en zona urbana
134,-33.521863,-70.759233,Incendio,Estación Central,2024-10-17,Incidente #134 en zona urbana
135,-33.546779,-70.442407,Volcamiento,Santiago,2024-08-26,Incidente #135 en zona urbana
136,-33.705494,-70.734892,Congestión,Las Condes,2024-01-10,Incidente #136 en zona urbana
137,-33.447245,-70.872641,Vehículo detenido,La Reina,2024-12-11,Incidente #137 en zona urbana
138,-33.526591,-70.616883,Accidente,Santiago,2024-09-11,Incidente #138 en zona urbana
139,-33.661785,-70.511536,Incendio,Puente Alto,2024-07-07,Incidente #139 en zona urbana
140,-33.705108,-70.682761,Congestión,Renca,2024-09-02,Incidente #140 en zona urbana
141,-33.400223,-70.668393,Accidente,La Florida,2024-07-08,Incidente #141 en zona urbana
142,-33.56324,-70.416005,Congestión,Recoleta,2024-11-15,Incidente #142 en zona urbana
143,-33.366077,-70.670317,Volcamiento,Puente Alto,2024-03-19,Incidente #143 en zona urbana
144,-33.412709,-70.85785,Obras viales,Pudahuel,2024-07-25,Incidente #144 en zona urbana
145,-33.446784,-70.831091,Tránsito detenido,Puente Alto,2024-02-21,Incidente #145 en zona urbana
146,-33.34129,-70.445912,Vehículo detenido,Puente Alto,2024-06-08,Incidente #146 en zona urbana
147,-33.555298,-70.711315,Manifestación,Renca,2024-08-15,Incidente #147 en zona urbana
148,-33.408222,-70.598377,Accidente,Santiago,2024-11-18,Incidente #148 en zona urbana
149,-33.722634,-70.692367,Vehículo detenido,Puente Alto,2024-03-12,Incidente #149 en zona urbana
150,-33.441659,-70.580347,Corte de tránsito,Peñalolén,2024-01-21,Incidente #150 en zona urbana
151,-33.657977,-70.544005,Desvío,Santiago,2024-01-22,Incidente #151 en zona urbana
152,-33.563778,-70.749854,Obras viales,San Miguel,2024-03-26,Incidente #152 en zona urbana
153,-33.577211,-70.440771,Obras viales,Santiago,2024-11-14,Incidente #153 en zona urbana
154,-33.551806,-70.608284,Incendio,Pudahuel,2024-01-11,Incidente #154 en zona urbana
155,-33.655267,-70.421146,Lluvia intensa,Peñalolén,2024-11-11,Incidente #155 en zona urbana
156,-33.486451,-70.883662,Obras viales,Peñalolén,2024-07-07,Incidente #156 en zona urbana
157,-33.554355,-70.707711,Vehículo detenido,Quinta Normal,2024-12-29,Incidente #157 en zona urbana
158,-33.327105,-70.639921,Accidente,Santiago,2024-01-02,Incidente #158 en zona urbana
159,-33.563913,-70.673454,Peligro,La Reina,2024-10-26,Incidente #159 en zona urbana
160,-33.534293,-70.815109,Accidente,La Florida,2024-06-07,Incidente #160 en zona urbana
161,-33.730475,-70.546315,Lluvia intensa,Maipú,2024-08-08,Incidente #161 en zona urbana
162,-33.605096,-70.616178,Peligro,Santiago,2024-11-14,Incidente #162 en zona urbana
163,-33.361766,-70.892986,Niebla,Estación Central,2024-03-22,Incidente #163 en zona urbana
164,-33.748232,-70.592976,Congestión,Peñalolén,2024-10-05,Incidente #164 en zona urbana
165,-33.60999,-70.472945,Congestión,Ñuñoa,2024-07-22,Incidente #165 en zona urbana
166,-33.485189,-70.58857,Aluvión,San Joaquín,2024-09-02,Incidente #166 en zona urbana
167,-33.53949,-70.619935,Choque múltiple,Lo Prado,2024-02-22,Incidente #167 en zona urbana
168,-33.48081,-70.726973,Manifestación,Macul,2024-03-23,Incidente #168 en zona urbana
169,-33.419584,-70.515683,Accidente,Providencia,2024-04-25,Incidente #169 en zona urbana
170,-33.476371,-70.741881,Lluvia intensa,Recoleta,2024-03-09,Incidente #170 en zona urbana
171,-33.374263,-70.842641,Moto accidentada,La Reina,2024-08-13,Incidente #171 en zona urbana
172,-33.66911,-70.775852,Moto accidentada,Huechuraba,2024-05-03,Incidente #172 en zona urbana
173,-33.469704,-70.400319,Desvío,Santiago,2024-04-28,Incidente #173 en zona urbana
174,-33.334133,-70.53318,Desvío,La Granja,2024-12-06,Incidente #174 en zona urbana
175,-33.639294,-70.605384,Congestión,Santiago,2024-03-21,Incidente #175 en zona urbana
176,-33.381666,-70.516032,Policía,Santiago,2024-04-04,Incidente #176 en zona urbana
177,-33.535162,-70.541318,Tránsito detenido,Las Condes,2024-04-12,Incidente #177 en zona urbana
178,-33.658231,-70.823946,Congestión,Las Condes,2024-06-05,Incidente #178 en zona urbana
179,-33.708862,-70.594582,Peligro,Puente Alto,2024-08-22,Incidente #179 en zona urbana
180,-33.577978,-70.516011,Tránsito detenido,Macul,2024-07-11,Incidente #180 en zona urbana
181,-33.577662,-70.626235,Vehículo detenido,Lo Prado,2024-03-16,Incidente #181 en zona urbana
182,-33.706726,-70.777574,Tránsito detenido,Maipú,2024-11-26,Incidente #182 en zona urbana
183,-33.571596,-70.817322,Aluvión,Macul,2024-10-07,Incidente #183 en zona urbana
184,-33.394289,-70.786096,Obras viales,Santiago,2024-09-16,Incidente #184 en zona urbana
185,-33.685488,-70.881104,Tránsito detenido,Pudahuel,2024-03-02,Incidente #185 en zona urbana
186,-33.476354,-70.851022,Congestión,Lo Prado,2024-06-20,Incidente #186 en zona urbana
187,-33.61903,-70.809091,Accidente,San Joaquín,2024-06-20,Incidente #187 en zona urbana
188,-33.409991,-70.523624,Congestión,Puente Alto,2024-04-11,Incidente #188 en zona urbana
189,-33.577794,-70.748959,Accidente,Lo Prado,2024-12-19,Incidente #189 en zona urbana
190,-33.354737,-70.656944,Congestión,La Florida,2024-03-02,Incidente #190 en zona urbana
191,-33.578782,-70.44972,Peatón atropellado,Las Condes,2024-02-24,Incidente #191 en zona urbana
192,-33.428083,-70.45088,Congestión,Puente Alto,2024-04-07,Incidente #192 en zona urbana
193,-33.312026,-70.715411,Aluvión,San Joaquín,2024-12-15,Incidente #193 en zona urbana
194,-33.709198,-70.814541,Obras viales,Renca,2024-09-08,Incidente #194 en zona urbana
195,-33.358747,-70.796657,Congestión,Peñalolén,2024-09-13,Incidente #195 en zona urbana
196,-33.300945,-70.666904,Moto accidentada,Huechuraba,2024-07-04,Incidente #196 en zona urbana
197,-33.616369,-70.765928,Congestión,Maipú,2024-04-05,Incidente #197 en zona urbana
198,-33.389581,-70.740498,Tránsito detenido,Renca,2024-09-23,Incidente #198 en zona urbana
199,-33.473226,-70.715512,Tránsito detenido,San Joaquín,2024-02-26,Incidente #199 en zona urbana
200,-33.728512,-70.781875,Volcamiento,Ñuñoa,2024-12-06,Incidente #200 en zona urbana
201,-33.374896,-70.481267,Desvío,San Joaquín,2024-05-17,Incidente #201 en zona urbana
202,-33.303358,-70.825108,Congestión,La Florida,2024-11-24,Incidente #202 en zona urbana
203,-33.44649,-70.659459,Congestión,San Joaquín,2024-03-11,Incidente #203 en zona urbana
204,-33.365484,-70.690574,Tránsito detenido,San Ramón,2024-12-14,Incidente #204 en zona urbana
205,-33.392514,-70.512099,Obras viales,Puente Alto,2024-04-17,Incidente #205 en zona urbana
206,-33.31659,-70.899107,Policía,Providencia,2024-02-14,Incidente #206 en zona urbana
207,-33.370577,-70.890005,Vehículo detenido,Quilicura,2024-07-28,Incidente #207 en zona urbana
208,-33.494585,-70.581278,Semáforo apagado,Ñuñoa,2024-07-23,Incidente #208 en zona urbana
209,-33.366994,-70.665331,Obras viales,Puente Alto,2024-07-27,Incidente #209 en zona urbana
210,-33.375853,-70.849179,Tránsito detenido,Las Condes,2024-12-05,Incidente #210 en zona urbana
211,-33.450814,-70.464343,Moto accidentada,San Joaquín,2024-10-03,Incidente #211 en zona urbana
212,-33.317805,-70.656227,Accidente,Lo Prado,2024-05-19,Incidente #212 en zona urbana
213,-33.369794,-70.676715,Vehículo detenido,Providencia,2024-05-28,Incidente #213 en zona urbana
214,-33.484368,-70.598527,Tránsito detenido,Pedro Aguirre Cerda,2024-08-24,Incidente #214 en zona urbana
215,-33.384486,-70.719132,Accidente,Providencia,2024-08-27,Incidente #215 en zona urbana
216,-33.71824,-70.404345,Policía,Las Condes,2024-11-12,Incidente #216 en zona urbana
217,-33.374794,-70.540845,Vehículo detenido,San Miguel,2024-01-12,Incidente #217 en zona urbana
218,-33.563905,-70.896745,Manifestación,Quilicura,2024-11-29,Incidente #218 en zona urbana
219,-33.450203,-70.65238,Obras viales,Huechuraba,2024-09-18,Incidente #219 en zona urbana
220,-33.563857,-70.633892,Choque múltiple,Providencia,2024-11-25,Incidente #220 en zona urbana
221,-33.594084,-70.763003,Manifestación,Providencia,2024-07-06,Incidente #221 en zona urbana
222,-33.360583,-70.604187,Choque múltiple,Recoleta,2024-08-05,Incidente #222 en zona urbana
223,-33.388564,-70.878003,Manifestación,Estación Central,2024-09-28,Incidente #223 en zona urbana
224,-33.548877,-70.603339,Congestión,Estación Central,2024-06-25,Incidente #224 en zona urbana
225,-33.354523,-70.529743,Accidente,Estación Central,2024-08-31,Incidente #225 en zona urbana
226,-33.307122,-70.840591,Moto accidentada,Puente Alto,2024-06-11,Incidente #226 en zona urbana
227,-33.688173,-70.706092,Accidente,Ñuñoa,2024-02-18,Incidente #227 en zona urbana
228,-33.588574,-70.767985,Peatón atropellado,Providencia,2024-01-30,Incidente #228 en zona urbana
229,-33.466536,-70.806306,Congestión,La Cisterna,2024-05-08,Incidente #229 en zona urbana
230,-33.30259,-70.857527,Peatón atropellado,Maipú,2024-11-08,Incidente #230 en zona urbana
231,-33.302547,-70.638128,Accidente,Providencia,2024-07-01,Incidente #231 en zona urbana
232,-33.648996,-70.504832,Congestión,Peñalolén,2024-03-24,Incidente #232 en zona urbana
233,-33.520782,-70.467156,Tránsito detenido,Maipú,2024-11-15,Incidente #233 en zona urbana
234,-33.360265,-70.681965,Semáforo apagado,Las Condes,2024-10-02,Incidente #234 en zona urbana
235,-33.721016,-70.4192,Lluvia intensa,Renca,2024-02-21,Incidente #235 en zona urbana
236,-33.710908,-70.698758,Congestión,Santiago,2024-04-02,Incidente #236 en zona urbana
237,-33.474317,-70.492382,Desvío,Santiago,2024-03-24,Incidente #237 en zona urbana
238,-33.536261,-70.488139,Tránsito detenido,Providencia,2024-10-26,Incidente #238 en zona urbana
239,-33.332875,-70.506559,Tránsito detenido,Macul,2024-10-10,Incidente #239 en zona urbana
240,-33.555898,-70.758296,Obras viales,Santiago,2024-09-05,Incidente #240 en zona urbana
241,-33.417938,-70.832887,Evento masivo,Lo Prado,2024-05-18,Incidente #241 en zona urbana
242,-33.42264,-70.725753,Semáforo apagado,La Granja,2024-04-27,Incidente #242 en zona urbana
243,-33.700854,-70.769897,Congestión,Huechuraba,2024-04-14,Incidente #243 en zona urbana
244,-33.742205,-70.490258,Desvío,Ñuñoa,2024-09-26,Incidente #244 en zona urbana
245,-33.684226,-70.81706,Accidente,Puente Alto,2024-03-16,Incidente #245 en zona urbana
246,-33.691439,-70.872872,Manifestación,Las Condes,2024-12-14,Incidente #246 en zona urbana
247,-33.659643,-70.419753,Accidente,Conchalí,2024-01-17,Incidente #247 en zona urbana
248,-33.553678,-70.40176,Semáforo apagado,San Miguel,2024-06-26,Incidente #248 en zona urbana
249,-33.46177,-70.898678,Policía,Macul,2024-06-23,Incidente #249 en zona urbana
250,-33.391265,-70.58044,Vehículo detenido,Renca,2024-09-28,Incidente #250 en zona urbana
251,-33.615238,-70.462337,Accidente,Las Condes,2024-01-02,Incidente #251 en zona urbana
252,-33.681759,-70.866093,Congestión,San Miguel,2024-07-01,Incidente #252 en zona urbana
253,-33.687025,-70.515442,Obras viales,Providencia,2024-11-12,Incidente #253 en zona urbana
254,-33.30112,-70.714531,Choque múltiple,San Joaquín,2024-09-12,Incidente #254 en zona urbana
255,-33.71045,-70.477849,Choque múltiple,La Florida,2024-02-02,Incidente #255 en zona urbana
256,-33.716186,-70.443112,Congestión,Providencia,2024-03-13,Incidente #256 en zona urbana
257,-33.426726,-70.500674,Accidente,Pudahuel,2024-10-23,Incidente #257 en zona urbana
258,-33.684958,-70.427597,Policía,Ñuñoa,2024-09-03,Incidente #258 en zona urbana
259,-33.651165,-70.526313,Congestión,San Ramón,2024-04-02,Incidente #259 en zona urbana
260,-33.362589,-70.422851,Policía,La Reina,2024-12-02,Incidente #260 en zona urbana
261,-33.475546,-70.887648,Corte de tránsito,Huechuraba,2024-05-23,Incidente #261 en zona urbana
262,-33.584378,-70.695303,Congestión,La Pintana,2024-02-01,Incidente #262 en zona urbana
263,-33.330969,-70.529773,Choque múltiple,Ñuñoa,2024-09-25,Incidente #263 en zona urbana
264,-33.329409,-70.560843,Congestión,La Florida,2024-02-22,Incidente #264 en zona urbana
265,-33.367683,-70.522861,Policía,Maipú,2024-01-08,Incidente #265 en zona urbana
266,-33.693587,-70.824039,Peligro,Pedro Aguirre Cerda,2024-11-11,Incidente #266 en zona urbana
267,-33.626114,-70.592494,Evento masivo,Maipú,2024-01-05,Incidente #267 en zona urbana
268,-33.661615,-70.700917,Desvío,Providencia,2024-06-02,Incidente #268 en zona urbana
269,-33.530973,-70.589949,Choque múltiple,Santiago,2024-09-23,Incidente #269 en zona urbana
270,-33.590451,-70.420185,Congestión,Huechuraba,2024-12-26,Incidente #270 en zona urbana
271,-33.307908,-70.849047,Vehículo detenido,Puente Alto,2024-03-13,Incidente #271 en zona urbana
272,-33.322586,-70.578088,Policía,Renca,2024-05-13,Incidente #272 en zona urbana
273,-33.57377,-70.468049,Tránsito detenido,Recoleta,2024-03-27,Incidente #273 en zona urbana
274,-33.712659,-70.508977,Peatón atropellado,Puente Alto,2024-07-26,Incidente #274 en zona urbana
275,-33.489773,-70.844698,Congestión,La Granja,2024-06-20,Incidente #275 en zona urbana
276,-33.3441,-70.687114,Manifestación,La Pintana,2024-02-07,Incidente #276 en zona urbana
277,-33.677807,-70.665709,Vehículo detenido,Puente Alto,2024-07-02,Incidente #277 en zona urbana
278,-33.411119,-70.799916,Lluvia intensa,Pudahuel,2024-02-27,Incidente #278 en zona urbana
279,-33.43647,-70.699113,Vehículo detenido,Providencia,2024-05-30,Incidente #279 en zona urbana
280,-33.673987,-70.496406,Obras viales,Santiago,2024-04-28,Incidente #280 en zona urbana
281,-33.589764,-70.414394,Peatón atropellado,Santiago,2024-07-31,Incidente #281 en zona urbana
282,-33.581574,-70.758406,Congestión,Macul,2024-08-07,Incidente #282 en zona urbana
283,-33.602703,-70.551259,Vehículo detenido,Providencia,2024-10-28,Incidente #283 en zona urbana
284,-33.603377,-70.780798,Volcamiento,San Miguel,2024-10-31,Incidente #284 en zona urbana
285,-33.586201,-70.897282,Manifestación,La Cisterna,2024-05-20,Incidente #285 en zona urbana
286,-33.524863,-70.732484,Choque múltiple,Lo Prado,2024-10-14,Incidente #286 en zona urbana
287,-33.392175,-70.86566,Manifestación,Conchalí,2024-03-04,Incidente #287 en zona urbana
288,-33.527262,-70.811009,Congestión,Recoleta,2024-10-22,Incidente #288 en zona urbana
289,-33.425962,-70.644613,Congestión,Las Condes,2024-11-12,Incidente #289 en zona urbana
290,-33.30459,-70.774754,Lluvia intensa,La Granja,2024-01-30,Incidente #290 en zona urbana
291,-33.325814,-70.750759,Tránsito detenido,Macul,2024-07-27,Incidente #291 en zona urbana
